"Importado","AireAcondicionado","Codigo","Cilindraje","Potencia"
0,0,1601126,1399,92
0,1,1601127,1399,92
0,1,1601128,1799,121
0,1,1601129,1799,121
1,1,1601131,1796,102
0,0,1601132,995,62
0,1,1601133,995,62
1,0,1601136,995,62
1,1,1601137,995,62
1,1,1601138,2200,147
1,1,1601140,1598,103
1,1,1601141,1597,100
1,1,1601142,1597,100
1,1,1601146,1598,103
1,1,1601147,1597,100
1,1,1601148,1597,100
1,1,1601149,1597,100
1,1,1601150,1597,100
1,1,1601154,2492,155
1,1,1601155,2400,148
1,0,1601156,1389,84
0,1,1601157,1389,84
0,1,1601159,1600,90
1,0,1601160,1399,93
1,1,1601161,1399,93
1,0,1601164,1399,93
0,1,1601165,1389,84
0,1,1601166,1799,121
0,1,1601167,1799,121
1,1,1601169,1389,84
1,1,1601170,1389,84
1,1,1601171,1799,121
1,1,1601172,1799,121
0,1,1601173,1799,121
0,0,1601174,1389,84
1,1,1601181,1598,103
0,1,1601182,1389,84
1,1,1601184,1399,93
1,1,1601187,1399,93
0,0,1601188,995,62
1,0,1601189,995,62
1,1,1601190,995,62
1,1,1601191,2000,126
0,1,1601192,995,62
1,1,1601193,1598,103
1,0,1601194,1598,103
0,1,1601195,1399,92
0,1,1601196,1598,103
0,0,1601198,1399,93
0,1,1601199,1399,93
1,1,1601200,995,62
0,0,1601201,1399,92
0,1,1601202,1399,92
0,1,1601203,1598,103
1,1,1601204,2492,156
0,1,1601205,1598,103
0,0,1601206,1598,103
0,1,1601207,1598,103
1,1,1601208,1598,103
0,1,1601209,1598,103
0,0,1601210,1598,103
0,0,1601211,1598,103
0,1,1601212,1598,103
1,1,1601213,995,62
0,1,1601214,1598,103
0,1,1601215,1799,121
0,1,1601216,1799,121
1,1,1601217,2400,169
1,1,1601218,2834,130
1,0,1601219,2475,84
1,1,1601220,1597,100
1,1,1601221,1597,100
0,1,1601222,1598,103
1,1,1601223,7000,505
1,0,1601224,1500,83
1,1,1601225,1500,83
0,1,1601226,1598,103
0,1,1601227,1598,103
1,1,1601228,5000,170
0,0,1601229,1598,103
0,1,1601230,1598,103
0,1,1601231,1598,103
0,1,1601232,1598,103
0,1,1601233,995,62
0,1,1601234,1799,121
0,1,1601235,1799,121
1,1,1601236,2492,156
1,1,1601237,3600,304
1,1,1601238,1796,141
0,1,1601239,1206,80
0,1,1601240,1206,80
0,1,1601241,1206,80
0,1,1601242,1598,103
1,1,1601243,3600,304
1,1,1601244,3600,304
1,1,1601245,6200,400
1,1,1601246,1796,141
1,1,1601247,1796,141
0,1,1601248,1598,103
0,1,1601249,1598,103
1,1,1601250,3500,211
1,1,1601251,1796,138
1,1,1601252,1400,0
0,0,1601253,1398,102
0,1,1601254,1398,102
0,1,1601255,1398,102
0,1,1601256,1398,102
0,1,1601257,1398,102
0,1,1601258,1398,102
1,1,1601259,3800,110
1,1,1601260,1598,115
1,1,1601261,1598,115
1,1,1601262,1598,115
1,1,1601263,1598,115
1,1,1601264,1598,115
0,1,1601265,1796,104
0,1,1601266,1796,104
1,1,1601267,3600,323
1,1,1601268,1796,138
1,1,1601269,5700,300
0,1,1601270,1796,104
0,1,1601271,1399,102
0,1,1601272,1796,104
0,1,1601273,1796,104
0,1,1601274,1206,80
0,1,1601275,1206,80
1,1,1601276,1796,138
0,1,1601277,1796,104
1,1,1601278,1796,138
1,1,1601279,6200,455
0,1,1601280,1399,102
0,0,1601281,995,65
0,1,1601282,995,65
0,0,1601283,995,65
0,1,1601284,995,65
0,0,1601285,995,65
0,1,1601286,995,65
0,1,1601287,1796,104
1,1,1601288,1796,138
1,1,1601289,6200,580
0,0,1601290,1398,102
0,1,1601291,1398,102
1,1,1601292,5700,405
0,1,1601293,1796,104
0,1,1601294,996,65
1,1,1601295,6000,442
0,1,1601296,1399,102
1,1,1601297,1389,98
1,1,1601298,6162,455
1,1,1601299,5700,390
1,1,1601300,1399,153
1,1,1601301,1399,153
1,1,1601302,1389,98
1,1,1601303,1796,138
0,1,1601304,1206,80
0,1,1601305,1399,102
0,1,1601306,996,65
0,0,1601307,995,65
0,1,1601308,995,65
1,1,1601309,1598,114
0,1,1601310,1206,80
0,0,1601311,1398,102
0,1,1601312,1398,102
0,1,1601313,1398,102
1,1,1601314,1598,114
1,1,1601315,1598,114
1,1,1601316,1598,114
1,1,1601317,1389,97
0,0,1603001,8200,165
0,0,1603003,0,0
0,0,1603004,0,120
0,0,1603005,6000,170
