"Codigo","Marca","Peso"
1601204,"CHEVROLET",1235
1601205,"CHEVROLET",1052
1601206,"CHEVROLET",1052
1601207,"CHEVROLET",1245
1601208,"CHEVROLET",1115
1601209,"CHEVROLET",1085
1601210,"CHEVROLET",1085
1601211,"CHEVROLET",1115
1601212,"CHEVROLET",1125
1601213,"CHEVROLET",855
1601214,"CHEVROLET",1245
1601215,"CHEVROLET",1280
1601216,"CHEVROLET",1300
1601217,"CHEVROLET",1552
1601218,"CHEVROLET",1141
1601219,"CHEVROLET",1090
1601220,"CHEVROLET",950
1601221,"CHEVROLET",950
1601222,"CHEVROLET",1085
1601223,"CHEVROLET",1419
1601224,"CHEVROLET",0
1601225,"CHEVROLET",0
1601226,"CHEVROLET",1245
1601227,"CHEVROLET",1125
1601228,"CHEVROLET",1775
1601229,"CHEVROLET",1120
1601230,"CHEVROLET",1120
1601231,"CHEVROLET",1120
1601232,"CHEVROLET",1125
1601233,"CHEVROLET",855
1601234,"CHEVROLET",1280
1601235,"CHEVROLET",1300
1601236,"CHEVROLET",1235
1601237,"CHEVROLET",1694
1601238,"CHEVROLET",1315
1601239,"CHEVROLET",965
1601240,"CHEVROLET",979
1601241,"CHEVROLET",979
1601242,"CHEVROLET",1120
1601243,"CHEVROLET",0
1601244,"CHEVROLET",0
1601245,"CHEVROLET",0
1601246,"CHEVROLET",1315
1601247,"CHEVROLET",1290
1601248,"CHEVROLET",1245
1601249,"CHEVROLET",1135
1601250,"CHEVROLET",1615
1601251,"CHEVROLET",1446
1601252,"CHEVROLET",1718
1601253,"CHEVROLET",1070
1601254,"CHEVROLET",1070
1601255,"CHEVROLET",1070
1601256,"CHEVROLET",1070
1601257,"CHEVROLET",1060
1601258,"CHEVROLET",1060
1601259,"CHEVROLET",0
1601260,"CHEVROLET",1180
1601261,"CHEVROLET",1195
1601262,"CHEVROLET",1165
1601263,"CHEVROLET",1165
1601264,"CHEVROLET",1180
1601265,"CHEVROLET",1135
1601266,"CHEVROLET",1126
1601267,"CHEVROLET",1730
1601268,"CHEVROLET",1475
1601269,"CHEVROLET",1504
1601270,"CHEVROLET",1126
1601271,"CHEVROLET",1082
1601272,"CHEVROLET",1117
1601273,"CHEVROLET",1182
1601274,"CHEVROLET",979
1601275,"CHEVROLET",965
1601276,"CHEVROLET",1433
1601277,"CHEVROLET",1182
1601278,"CHEVROLET",1461
1601279,"CHEVROLET",1496
1601280,"CHEVROLET",1090
1601281,"CHEVROLET",795
1601282,"CHEVROLET",820
1601283,"CHEVROLET",795
1601284,"CHEVROLET",820
1601285,"CHEVROLET",795
1601286,"CHEVROLET",820
1601287,"CHEVROLET",1135
1601288,"CHEVROLET",1471
1601289,"CHEVROLET",1880
1601290,"CHEVROLET",1092
1601291,"CHEVROLET",1092
1601292,"CHEVROLET",0
1601293,"CHEVROLET",1126
1601294,"CHEVROLET",795
1601295,"CHEVROLET",1440
1601296,"CHEVROLET",1060
1601297,"CHEVROLET",1089
1601298,"CHEVROLET",0
1601299,"CHEVROLET",0
1601300,"CHEVROLET",1782
1601301,"CHEVROLET",1807
1601302,"CHEVROLET",1053
1601303,"CHEVROLET",1433
1601304,"CHEVROLET",979
1601305,"CHEVROLET",1060
1601306,"CHEVROLET",795
1601307,"CHEVROLET",795
1601308,"CHEVROLET",795
1601309,"CHEVROLET",1253
1601310,"CHEVROLET",965
1601311,"CHEVROLET",1092
1601312,"CHEVROLET",1092
1601313,"CHEVROLET",1092
1601314,"CHEVROLET",1226
1601315,"CHEVROLET",1209
1601316,"CHEVROLET",1236
1601317,"CHEVROLET",1072
1603001,"CHEVROLET",12000
1603003,"CHEVROLET",0
1603004,"CHEVROLET",6800
1603005,"CHEVROLET",12000
1603011,"CHEVROLET",12000
1603012,"CHEVROLET",5310
1603013,"CHEVROLET",13500
1603014,"CHEVROLET",13500
1603016,"CHEVROLET",13500
1603017,"CHEVROLET",2540
1603018,"CHEVROLET",2100
1603019,"CHEVROLET",11500
1603020,"CHEVROLET",11500
1603021,"CHEVROLET",4920
